"theta","posterior_density","posterior_mass"
20.9209209209209,4.29726357919598e-14,4.30156514434033e-15
21.021021021021,4.42497108018339e-14,4.42940048066406e-15
21.1211211211211,4.55686632140124e-14,4.5614277491504e-15
21.2212212212212,4.69309957621029e-14,4.69779737358388e-15
21.3213213213213,4.83382697801566e-14,4.83866564365932e-15
21.4214214214214,4.97921076713418e-14,4.98419496209628e-15
21.5215215215215,5.12941954883874e-14,5.13455410294169e-15
21.6216216216216,5.28462856312277e-14,5.28991848160438e-15
21.7217217217217,5.44501996675265e-14,5.45047043718985e-15
21.8218218218218,5.61078312820839e-14,5.61639952773613e-15
21.9219219219219,5.78211493614191e-14,5.7879028389809e-15
22.022022022022,5.95922012201622e-14,5.96518530732355e-15
22.1221221221221,6.14231159762333e-14,6.14846005768102e-15
22.2222222222222,6.33161080821463e-14,6.33794875697161e-15
22.3223223223223,6.52734810201654e-14,6.53388198400055e-15
22.4224224224224,6.72976311694615e-14,6.73649961656272e-15
22.5225225225225,6.93910518538163e-14,6.94605123661826e-15
22.6226226226226,7.15563375789156e-14,7.16279655444602e-15
22.7227227227227,7.37961884687179e-14,7.38700585272453e-15
22.8228228228228,7.6113414910917e-14,7.61896045154326e-15
22.9229229229229,7.85109424220444e-14,7.85895319539985e-15
23.023023023023,8.09918167433205e-14,8.10728896329536e-15
23.1231231231231,8.35592091789715e-14,8.36428520310026e-15
23.2232232232232,8.62164221893553e-14,8.63027249142697e-15
23.3233233233233,8.89668952519152e-14,8.90559512031185e-15
23.4234234234234,9.18142110036927e-14,9.19061171208137e-15
23.5235235235235,9.4762101679855e-14,9.48569586384937e-15
23.6236236236236,9.78144558635377e-14,9.79123682317697e-15
23.7237237237237,1.0097532556308e-13,1.01076401965045e-14
23.8238238238238,1.04248933633669e-13,1.0435328692059e-14
23.9239239239239,1.07639681561327e-13,1.07747428990317e-14
24.024024024024,1.11152157628169e-13,1.11263421049218e-14
24.1241241241241,1.14791145478929e-13,1.1490605153046e-14
24.2242242242242,1.18561633109857e-13,1.1868031342328e-14
24.3243243243243,1.22468822302271e-13,1.22591413715988e-14
24.4244244244244,1.26518138524319e-13,1.26644783307627e-14
24.5245245245245,1.30715241325815e-13,1.30846087413228e-14
24.6246246246246,1.35066035252432e-13,1.35201236488921e-14
24.7247247247247,1.39576681307034e-13,1.39716397704738e-14
24.8248248248248,1.44253608987501e-13,1.44398006994496e-14
24.9249249249249,1.49103528932075e-13,1.49252781713789e-14
25.025025025025,1.5413344620508e-13,1.54287733939019e-14
25.1251251251251,1.59350674257687e-13,1.59510184442129e-14
25.2252252252252,1.64762849600473e-13,1.64927777377851e-14
25.3253253253253,1.70377947226605e-13,1.70548495722328e-14
25.4254254254254,1.76204296826765e-13,1.76380677504269e-14
25.5255255255255,1.82250599839314e-13,1.82433032872187e-14
25.6256256256256,1.88525947381772e-13,1.88714662043816e-14
25.7257257257257,1.95039839112365e-13,1.95235074186552e-14
25.8258258258258,2.01802203073272e-13,2.02004207280553e-14
25.9259259259259,2.08823416570316e-13,2.09032449019336e-14
26.026026026026,2.16114328147e-13,2.16330658805806e-14
26.1261261261261,2.23686280714333e-13,2.23910190905238e-14
26.2262262262262,2.31551135901512e-13,2.31782918820333e-14
26.3263263263263,2.39721299696461e-13,2.39961260957419e-14
26.4264264264264,2.48209749449345e-13,2.48458207657002e-14
26.5265265265265,2.57030062316694e-13,2.5728734966636e-14
26.6266266266266,2.66196445228344e-13,2.66462908136481e-14
26.7267267267267,2.75723766464551e-13,2.75999766230782e-14
26.8268268268268,2.85627588935851e-13,2.8591350243829e-14
26.9269269269269,2.95924205264047e-13,2.96220425689737e-14
27.027027027027,3.06630674768604e-13,3.06937612380985e-14
27.1271271271271,3.17764862469363e-13,3.18082945414778e-14
27.2272272272272,3.29345480223188e-13,3.29675155378567e-14
27.3273273273273,3.41392130119607e-13,3.41733863983591e-14
27.4274274274274,3.53925350268254e-13,3.54279629898153e-14
27.5275275275275,3.66966663119294e-13,3.67333997116411e-14
27.6276276276276,3.80538626466875e-13,3.80919546012889e-14
27.7277277277277,3.94664887295092e-13,3.95059947242335e-14
27.8278278278278,4.09370238636199e-13,4.09780018654855e-14
27.9279279279279,4.24680679621395e-13,4.25105785406803e-14
28.028028028028,4.40623478916282e-13,4.41064543459742e-14
28.1281281281281,4.57227241745171e-13,4.57684926671843e-14
28.2282282282282,4.74521980721789e-13,4.74996977699489e-14
28.3283283283283,4.92539190717766e-13,4.93032222940707e-14
28.4284284284284,5.11311928015534e-13,5.11823751767303e-14
28.5285285285285,5.30874894008096e-13,5.31406300308405e-14
28.6286286286286,5.512645237255e-13,5.51816340065566e-14
28.7287287287287,5.72519079486053e-13,5.73092171657711e-14
28.8288288288288,5.94678749990044e-13,5.95274024014059e-14
28.9289289289289,6.17785755194683e-13,6.18404159354038e-14
29.029029029029,6.41884457331561e-13,6.42526984315878e-14
29.1291291291291,6.67021478451962e-13,6.67689167619583e-14
29.2292292292292,6.93245824911096e-13,6.93939764675773e-14
29.3293293293293,7.20609019230015e-13,7.21330349579595e-14
29.4294294294294,7.49165239803618e-13,7.49915154958578e-14
29.5295295295295,7.78971468954739e-13,7.79751220174915e-14
29.6296296296296,8.10087649868407e-13,8.10898548416825e-14
29.7297297297297,8.42576852976859e-13,8.43420273250111e-14
29.8298298298298,8.76505452404879e-13,8.77382835240121e-14
29.9299299299299,9.11943313127171e-13,9.12856169296469e-14
30.03003003003,9.48963989534355e-13,9.49913903437794e-14
30.1301301301301,9.87644936152545e-13,9.88633569722268e-14
30.2302302302302,1.02806773131356e-12,1.0290968281417e-13
30.3303303303303,1.07031831462822e-12,1.07138970433256e-13
30.4304304304304,1.11448723917555e-12,1.11560284201757e-13
30.5305305305305,1.16066993938461e-12,1.16183177115577e-13
30.6306306306306,1.20896701565535e-12,1.2101771928482e-13
30.7307307307307,1.25948453683883e-12,1.26074528212095e-13
30.8308308308308,1.31233436177784e-12,1.31364800978763e-13
30.9309309309309,1.36763448119435e-12,1.36900348467903e-13
31.031031031031,1.4255093813035e-12,1.42693631762112e-13
31.1311311311311,1.48609043063368e-12,1.48757800864233e-13
31.2312312312312,1.54951629163913e-12,1.55106735899813e-13
31.3313313313313,1.61593335880811e-12,1.61755090971783e-13
31.4314314314314,1.68549622509403e-12,1.68718340850253e-13
31.5315315315315,1.75836817863145e-12,1.76012830693839e-13
31.6316316316316,1.8347217318443e-12,1.83655829013444e-13
31.7317317317317,1.91473918520967e-12,1.91665584105072e-13
31.8318318318318,1.9986132281098e-12,2.00061384195175e-13
31.9319319319319,2.08654757938674e-12,2.08863621560235e-13
32.032032032032,2.17875767041155e-12,2.18093860902058e-13
32.1321321321321,2.2754713736914e-12,2.27774912281422e-13
32.2322322322322,2.37692978026889e-12,2.37930908935825e-13
32.3323323323323,2.48338802941468e-12,2.485873903318e-13
32.4324324324324,2.59511619438402e-12,2.59771390829232e-13
32.5325325325325,2.7124002282972e-12,2.71511534364085e-13
32.6326326326326,2.83554297451777e-12,2.83838135587365e-13
32.7327327327327,2.96486524624331e-12,2.96783307932263e-13
32.8328328328328,3.10070698038944e-12,3.10381079118063e-13
32.9329329329329,3.24342847124807e-12,3.24667514639447e-13
33.033033033033,3.39341168983122e-12,3.39680849832955e-13
33.1331331331331,3.55106169527977e-12,3.55461631159136e-13
33.2332332332332,3.71680814522442e-12,3.72052867389832e-13
33.3333333333333,3.89110691253474e-12,3.8950019144492e-13
33.4334334334334,4.07444181649079e-12,4.07852033682763e-13
33.5335335335335,4.26732647705745e-12,4.27159807513259e-13
33.6336336336336,4.47030630164761e-12,4.47478108273035e-13
33.7337337337337,4.68396061452147e-12,4.68864926378526e-13
33.8338338338338,4.90890493980181e-12,4.91381875856038e-13
33.9339339339339,5.1457934499862e-12,5.15094439438059e-13
34.034034034034,5.39532159281899e-12,5.40072231513413e-13
34.1341341341341,5.65822891045375e-12,5.66389280325701e-13
34.2342342342342,5.93530206599829e-12,5.94124330930761e-13
34.3343343343343,6.2273780938011e-12,6.23361170550662e-13
34.4344344344344,6.53534789121349e-12,6.5418897809945e-13
34.5345345345345,6.86015997106676e-12,6.86702699806484e-13
34.6346346346346,7.20282449573783e-12,7.2100345302681e-13
34.7347347347347,7.56441761546381e-12,7.57198960506889e-13
34.8348348348348,7.94608613551365e-12,7.95404017568935e-13
34.9349349349349,8.34905253895015e-12,8.35740994889906e-13
35.035035035035,8.77462039403911e-12,8.78340379783696e-13
35.1351351351351,9.22418017789636e-12,9.23341359148786e-13
35.2352352352352,9.69921555073804e-12,9.70892447521327e-13
35.3353353353353,1.02013101181284e-11,1.02115216397682e-12
35.4354354354354,1.07321547219369e-11,1.07428976195565e-12
35.5355355355355,1.12935553043426e-11,1.13048601645071e-12
35.6356356356356,1.18874413932e-11,1.1899340733934e-12
35.7357357357357,1.25158752614308e-11,1.25284036650959e-12
35.8358358358358,1.31810618178746e-11,1.31942560739486e-12
