"alpha0","beta"
22.3694779116466,-1.28995983935743
23.1726907630522,-0.934939759036144
27.3493975903614,-0.830522088353414
23.1726907630522,-1.44658634538153
24.6184738955823,-1.42570281124498
24.9397590361446,0.0465863453815261
25.7429718875502,-1.4570281124498
23.8152610441767,-0.924497991967871
25.1004016064257,-0.527710843373494
23.3333333333333,-1.13333333333333
24.7791164658635,-0.966265060240964
25.2610441767068,-0.444176706827309
25.9036144578313,-0.506827309236948
24.9397590361446,-1.20642570281125
23.4939759036145,-0.924497991967871
26.706827309237,-0.861847389558233
24.2971887550201,-0.569477911646586
27.5100401606426,-0.611244979919679
22.85140562249,-1.87469879518072
27.0281124497992,-1.26907630522088
24.2971887550201,-1.20642570281125
21.7269076305221,-0.882730923694779
25.9036144578313,-0.903614457831325
25.7429718875502,-1.7285140562249
26.8674698795181,-1.06024096385542
22.2088353413655,-1.23775100401606
21.0843373493976,-1.42570281124498
25.2610441767068,-1.26907630522088
23.0120481927711,-0.579919678714859
24.9397590361446,-1.10200803212851
21.4056224899598,-0.485943775100401
22.2088353413655,-0.402409638554217
24.4578313253012,-0.642570281124498
23.0120481927711,-0.569477911646586
20.9236947791165,-1.38393574297189
24.2971887550201,-0.214457831325301
25.9036144578313,-0.705220883534136
24.6184738955823,-0.569477911646586
25.2610441767068,-0.861847389558233
25.9036144578313,-1.03935742971888
23.9759036144578,-0.809638554216867
23.8152610441767,-0.809638554216867
25.2610441767068,-1.04979919678715
24.2971887550201,-0.914056224899598
25.421686746988,-0.788755020080321
29.1164658634538,-1.60321285140562
25.1004016064257,0.0152610441767069
23.1726907630522,-1.31084337349398
27.6706827309237,-1.00803212851406
25.7429718875502,-0.496385542168674
24.4578313253012,-0.840963855421687
25.421686746988,-1.23775100401606
25.2610441767068,-0.673895582329317
25.7429718875502,-0.945381526104418
24.9397590361446,-1.96867469879518
25.7429718875502,-1.39437751004016
24.136546184739,-1.15421686746988
22.3694779116466,-0.976706827309237
24.6184738955823,-0.809638554216867
25.2610441767068,-1.47791164658635
22.5301204819277,-0.653012048192771
24.7791164658635,-1.23775100401606
20.9236947791165,-0.381526104417671
25.421686746988,-1.55100401606426
26.2248995983936,-1.59277108433735
23.1726907630522,-1.38393574297189
23.0120481927711,-0.903614457831325
27.5100401606426,-0.653012048192771
26.3855421686747,-0.778313253012048
26.8674698795181,-1.66586345381526
26.2248995983936,-1.15421686746988
24.6184738955823,-0.71566265060241
26.706827309237,-1.48835341365462
26.0642570281125,-0.0265060240963855
23.0120481927711,-1.04979919678715
27.8313253012048,-1.26907630522088
23.3333333333333,-1.41526104417671
24.6184738955823,-1.93734939759036
24.6184738955823,-0.82008032128514
26.8674698795181,-1.38393574297189
23.0120481927711,-1.09156626506024
26.3855421686747,-0.41285140562249
24.6184738955823,-1.07068273092369
23.0120481927711,-0.433734939759036
24.4578313253012,-1.49879518072289
25.7429718875502,-0.976706827309237
26.5461847389558,-0.673895582329317
22.2088353413655,-0.746987951807229
24.9397590361446,-0.329317269076305
26.3855421686747,-0.882730923694779
25.421686746988,-1.21686746987952
22.3694779116466,-0.611244979919679
24.6184738955823,-1.83293172690763
24.136546184739,-0.882730923694779
24.4578313253012,-1.48835341365462
26.5461847389558,-0.903614457831325
25.9036144578313,-0.653012048192771
23.9759036144578,-1.74939759036145
24.9397590361446,-0.955823293172691
26.706827309237,-1.28995983935743
24.2971887550201,-1.11244979919679
24.9397590361446,-1.25863453815261
23.9759036144578,-1.04979919678715
25.7429718875502,-0.266666666666667
24.7791164658635,-0.955823293172691
24.2971887550201,-1.50923694779116
23.6546184738956,0.485140562248996
22.6907630522088,-0.559036144578313
26.706827309237,-0.82008032128514
24.136546184739,0.537349397590362
21.0843373493976,-0.433734939759036
24.9397590361446,-0.465060240963855
