"year","lambda","y_star"
1986,19.6674698795181,19
1986,17.5277108433735,19
1986,14.885140562249,9
1986,21.7847389558233,31
1986,14.5092369477912,21
1986,22.6265060240964,20
1986,19.2674698795181,21
1986,22.0417670682731,15
1986,15.0120481927711,7
1986,13.9020080321285,9
1986,21.8795180722892,28
1986,23.3429718875502,14
1986,26.8048192771084,26
1986,22.2168674698795,20
1986,12.7116465863454,13
1986,23.8441767068273,22
1986,16.5879518072289,18
1986,20.4658634538153,21
1986,23.0506024096386,28
1986,18.6489959839357,23
1986,22.0449799196787,20
1986,18.3004016064257,13
1986,18.706827309237,10
1986,19.54859437751,19
1986,16.2714859437751,13
1986,17.7301204819277,18
1986,16.5204819277108,17
1986,17.2706827309237,25
1986,16.3726907630522,15
1986,15.9004016064257,26
1986,23.6963855421687,22
1986,13.3140562248996,10
1986,20.2586345381526,22
1986,25.3526104417671,26
1986,23.2883534136546,20
1986,17.3140562248996,11
1986,21.0265060240964,19
1986,21.3863453815261,25
1986,22.4626506024096,14
1986,19.174297188755,26
1986,23.3943775100402,31
1986,19.9967871485944,26
1986,12.1911646586345,10
1986,14.944578313253,14
1986,21.5180722891566,20
1986,26.3518072289157,24
1986,22.0562248995984,34
1986,24.05140562249,30
1986,16.8867469879518,15
1986,16.8947791164659,15
1986,20.0192771084337,18
1986,25.3847389558233,33
1986,15.0265060240964,10
1986,17.7044176706827,16
1986,12.4995983935743,11
1986,22.0819277108434,30
1986,15.3253012048193,17
1986,21.3590361445783,21
1986,21.3654618473896,10
1986,20.3646586345382,12
1986,21.0666666666667,17
1986,20.8112449799197,28
1986,20.4080321285141,25
1986,16.5269076305221,15
1986,14.6136546184739,16
1986,21.6915662650602,18
1986,16.4722891566265,19
1986,18.4449799196787,22
1986,15.7654618473896,16
1986,17.6690763052209,19
1986,18.8642570281124,15
1986,18.7967871485944,19
1986,18.1028112449799,13
1986,18.885140562249,16
1986,22.4546184738956,15
1986,12.6730923694779,15
1986,15.455421686747,12
1986,17.6353413654618,19
1986,13.4248995983936,19
1986,17.4698795180723,22
1986,16.3887550200803,16
1986,16.1253012048193,16
1986,20.5156626506024,21
1986,14.1012048192771,6
1986,22.1606425702811,24
1986,13.506827309237,15
1986,21.9951807228916,23
1986,21.6449799196787,30
1986,18.4947791164659,18
1986,18.1397590361446,15
1986,16.6538152610442,20
1986,19.1903614457831,17
1986,17.0152610441767,23
1986,16.621686746988,16
1986,23.174297188755,27
1986,22.7196787148594,13
1986,15.1710843373494,15
1986,18,17
1986,17.4168674698795,22
1986,24.0048192771084,20
1986,20.4305220883534,18
1986,21.6064257028112,23
1986,28.1349397590361,32
1986,15.6995983935743,13
1986,21.2433734939759,27
1986,21.1389558232932,18
1986,19.4056224899598,26
1986,25.8152610441767,25
1986,20.178313253012,23
1986,16.9654618473896,18
1986,21.2481927710843,22
1986,17.7606425702811,21
1986,19.0361445783133,17
1986,18.0449799196787,11
1986,22.6570281124498,21
1986,20.6457831325301,12
1986,16.8771084337349,20
1986,22.6008032128514,24
1986,15.7317269076305,12
1986,21.5228915662651,18
1986,20.7791164658635,24
1986,14.9911646586345,18
1986,18.8722891566265,15
1986,22.774297188755,27
1986,18.8803212851406,20
1986,15.481124497992,12
1986,22.5285140562249,24
1986,13.5020080321285,15
1986,14.3020080321285,21
1986,14.740562248996,11
1986,20.7935742971888,28
1986,17.1212851405623,20
1986,18.4321285140562,18
1986,17.5052208835341,15
1986,17.8409638554217,16
1986,18.5975903614458,20
1986,18.2393574297189,17
1986,21.1196787148594,19
1986,21.2208835341365,18
1986,17.0393574297189,25
1986,20.544578313253,25
1986,21.6353413654618,20
1986,15.3397590361446,16
1986,22.8112449799197,23
1986,21.1293172690763,25
1986,20.1012048192771,13
1986,16.3212851405622,19
1986,22.2506024096386,30
1986,23.4955823293173,21
1986,21.6658634538153,31
1986,13.7493975903614,14
1986,23.8457831325301,21
1986,18.0016064257028,11
1986,15.8056224899598,17
1986,16.1333333333333,15
1986,15.4570281124498,19
1986,19.914859437751,23
1986,16.1301204819277,18
1986,19.9951807228916,19
1986,19.0955823293173,14
1986,20.774297188755,26
1986,23.0457831325301,35
1986,18.1397590361446,15
1986,17.0313253012048,24
1986,19.2048192771084,25
1986,13.8441767068273,13
1986,18.5477911646586,15
1986,18.4995983935743,18
1986,24.5140562248996,30
1986,23.6963855421687,25
1986,13.1502008032129,8
1986,21.6128514056225,20
1986,21.3269076305221,18
1986,15.5550200803213,11
1986,15.7510040160643,18
1986,17.2417670682731,19
1986,18.5542168674699,26
1986,18.5847389558233,14
1986,22.2265060240964,19
1986,16.8048192771084,13
1986,14.9911646586345,19
1986,19.6738955823293,14
1986,17.4939759036145,16
1986,20.110843373494,21
1986,17.9502008032128,16
1986,23.4473895582329,25
1986,18.0497991967871,24
1986,15.7156626506024,16
1986,19.4971887550201,18
1986,12.6088353413655,19
1986,17.5453815261044,18
1986,26.978313253012,24
1986,14.5606425702811,16
1986,15.3799196787149,17
1986,18.0449799196787,13
1986,21.566265060241,26
1986,14.3919678714859,13
1986,19.9164658634538,11
1986,17.4072289156627,19
1986,16.9734939759036,11
