"alpha0","beta","posterior_mass"
44.6987951807229,-1.98955823293173,7.64529778985323e-28
44.859437751004,-1.98955823293173,3.67925536203795e-28
45.0200803212851,-1.98955823293173,1.76485687887041e-28
45.1807228915663,-1.98955823293173,8.43827708220007e-29
45.3413654618474,-1.98955823293173,4.02164167350483e-29
45.5020080321285,-1.98955823293173,1.91059534098722e-29
45.6626506024096,-1.98955823293173,9.04815723504148e-30
45.8232931726908,-1.98955823293173,4.27157327480694e-30
45.9839357429719,-1.98955823293173,2.01030511882133e-30
46.144578313253,-1.98955823293173,9.43175428033059e-31
46.3052208835341,-1.98955823293173,4.41152995172862e-31
46.4658634538153,-1.98955823293173,2.05713126537144e-31
46.6265060240964,-1.98955823293173,9.56357902169184e-32
46.7871485943775,-1.98955823293173,4.4327589723488e-32
46.9477911646586,-1.98955823293173,2.04848339524214e-32
47.1084337349398,-1.98955823293173,9.43853913398078e-33
47.2690763052209,-1.98955823293173,4.33611061654631e-33
47.429718875502,-1.98955823293173,1.98622434042271e-33
47.5903614457831,-1.98955823293173,9.07188755131756e-34
47.7510040160643,-1.98955823293173,4.1315914284603e-34
47.9116465863454,-1.98955823293173,1.8762740430938e-34
48.0722891566265,-1.98955823293173,8.49655971785176e-35
48.2329317269076,-1.98955823293173,3.83677695646536e-35
48.3935742971888,-1.98955823293173,1.72772711459222e-35
48.5542168674699,-1.98955823293173,7.75849300831642e-36
48.714859437751,-1.98955823293173,3.47441432306762e-36
48.8755020080321,-1.98955823293173,1.55165849347249e-36
49.0361445783133,-1.98955823293173,6.91081374018648e-37
49.1967871485944,-1.98955823293173,3.06965001299827e-37
49.3574297188755,-1.98955823293173,1.35982556195006e-37
49.5180722891566,-1.98955823293173,6.00786487545237e-38
49.6787148594378,-1.98955823293173,2.64732705800069e-38
49.8393574297189,-1.98955823293173,1.16346498197229e-38
50,-1.98955823293173,5.09993943594986e-39
10,-1.97911646586345,3.24408741713641e-82
10.1606425702811,-1.97911646586345,5.39116269451007e-72
10.3212851405622,-1.97911646586345,3.24131802010729e-66
10.4819277108434,-1.97911646586345,5.76128271675057e-62
10.6425702811245,-1.97911646586345,1.61643740587921e-58
10.8032128514056,-1.97911646586345,1.42045624846062e-55
10.9638554216867,-1.97911646586345,5.55056132845742e-53
11.1244979919679,-1.97911646586345,1.183647318643e-50
11.285140562249,-1.97911646586345,1.57006207017751e-48
11.4457831325301,-1.97911646586345,1.41633534004526e-46
11.6064257028112,-1.97911646586345,9.26218476036337e-45
11.7670682730924,-1.97911646586345,4.60472822931024e-43
11.9277108433735,-1.97911646586345,1.80503179541011e-41
12.0883534136546,-1.97911646586345,5.74161855779739e-40
12.2489959839357,-1.97911646586345,1.51666576230391e-38
12.4096385542169,-1.97911646586345,3.39056976269263e-37
12.570281124498,-1.97911646586345,6.5166053283721e-36
12.7309236947791,-1.97911646586345,1.09119288015714e-34
12.8915662650602,-1.97911646586345,1.61001849799164e-33
13.0522088353414,-1.97911646586345,2.11372156315385e-32
13.2128514056225,-1.97911646586345,2.49022409639054e-31
